TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
5.98,11.85,29.82,255.43,357.25,34.39,1132.56,5.54,0.99
6.16,9.50,29.90,252.10,357.03,32.28,578.99,6.10,0.56
5.80,8.65,30.18,252.08,365.58,32.79,498.60,6.02,0.47
5.86,8.40,30.02,254.29,364.97,32.57,479.85,5.64,0.43
5.90,12.20,30.06,253.62,364.40,35.10,1238.03,5.40,1.06
6.07,11.50,29.86,249.16,362.57,34.47,971.89,5.83,0.90
6.09,11.24,29.91,256.44,357.14,33.91,936.01,5.90,0.87
5.93,9.00,29.88,250.19,358.20,32.33,527.30,6.10,0.51
6.03,11.65,30.19,249.33,357.95,35.00,1023.74,5.73,0.93
6.13,10.17,30.11,250.34,360.54,33.00,686.51,6.17,0.67
5.98,8.58,29.98,248.92,358.65,32.45,468.03,5.80,0.43
6.07,11.76,30.04,253.41,364.99,34.70,1064.80,5.67,0.95
6.02,9.18,30.09,254.69,364.13,33.10,552.58,6.10,0.53
6.14,10.93,29.83,249.75,360.00,34.16,835.60,6.00,0.79
5.97,8.81,29.91,249.62,361.08,32.66,499.75,5.95,0.47
